Band,Lyrics,Song
Stratovarius,"Silence is all I hear
Blackness fills my world
Midwinter days and lonely nights
Depression takes over
My frozen mind 

Morning starts a new day
Dawning nowhere to be seen
Oh, won´t you break
My chains and let me go
Free as a bird in the sky 

Winter blows colder
I´m feeling older
Visions of darkness
Breaking the silence

Winter blows colder
I´m growing older
Light fades away
I´m here to stay 

I´m telling you no-one could ever take your place
Open your eyes and you will see",Winter
Stratovarius,"A new day is rising in ancient Babylon
Revealing mysteries to see
And the endless caravan
Never ending it's journey
With the wings of the wind I will fly

I can hear you calling me
I am blind but I see 
Babylon
Your memory haunts me forever
Won't leave me be
Babylon
Your glory's stronger than ever
For all to see 

Centuries have passed by
But your memory still lives on
In the minds of those who see
Under the summer moon
There comes a sight
That stays with me forever

I can hear you calling me
I am blind but I see 
Babylon your memory haunts me forever
Won't leave me be
Babylon
Your glory's stronger that ever
For all to see 

And underneath the starlit sky
I feel so strong I'll never die
I'm on this road to Eternity
My soul will live forever, I'm free",Babylon
Stratovarius,"When clouds are covering the sky
I can't help thinking what's behind
In a fading evening
I feel strange thoughts in my mind
What if we aren't alone here
There's a clone of everyone somewhere
That duplicates all that we do
Not like me not like you but our other ego

There ain't no wars or crises
Only joy and compromises
Time has stood still 

Why don't you take me there
Want to feel some infinity
Why don't we just dare
Coz after all remains, eternity 

A landscape with no trees
And a mist arising from the distance
An illusion just for me
Or a proper reward and a chance

There ain't no wars or crises
Only joy and compromises
Time has stood still 

Why don't you take me there
Want to feel some infinity
Why don't we just dare
Coz after all remains, eternity",Eternity
Stratovarius,"If I could stay awake for awhile
It would be another morning
DonÂ´t want to fall asleep now when
Everything seems so far and beyond 

Walking down a familiar road 
But the darkness is misleading me
I know I should feel fear inside
But still the shadows is where I want to be 

Just an ordinary day stealing all the hope away
Wanting me to be the one who has dreams made of clay 

My fading confused mind
Creating phrases unknown 

I know I shouldÂ´t stay awake
If I fall asleep they just might find me
Now all is so clear
I can finally proceed 

Just an ordinary day stealing all the hope away
Wanting me to be the one who has dreams made of clay 

My fading confused mind
Creating phrases unknown 

Waiting for the dawn
Soon to arrive
So few options that I have
And I can use
LifeÂ´s circumstances
Can be so cruel
If I take a chance I just might
Make the wrong move",Night Time Eclipse
Stratovarius,"IÂ´m staring out the window
Wondering will I soon know
The answers to the questions within
Where should I begin
IÂ´m delusioned by a clear crystal night
While trying to find some insight
The solution is close at hand yet still so far away 
IÂ´ll turn the tables Â´round and find another way
IÂ´ll leave all this behind and move on today 

I will take things as they come
Look out for number one
And IÂ´ll be back tomorrow
Feeling strong and brave inside
My head up high with pride
Yes IÂ´ll be back tomorrow 

IÂ´m facing my nightmares again
Determined that I wonÂ´t bend
Now the answers are coming to me
IÂ´m learning how to believe
I know now that this is the way
IÂ´ve found my red-letter day
I've been there out on a limb
But now IÂ´ve finally come in 

IÂ´ve turned the tables Â´round and found another way
IÂ´ve left it all behind for a better day 

I will take things as they come
Look out for number one
And IÂ´ll be back tomorrow
Feeling strong and brave inside
My head up high with pride
Yes IÂ´ll be back tomorrow",Tomorrow
Stratovarius,"Learning by trying itÂ´s hard to deny it
While paying for what I used to know
Dreams are deceiving until IÂ´m achieving
The goals I havenÂ´t set too low 

Waiting for a new day
To wipe away the Uncertainty
That flows around me
Once again to stay 

So many choices but so few answers
My time slips away while thinking too much
Whom to believe in theyÂ´re all just repeating
The same old lies so nice to clutch 

Waiting for a new day
To wipe away the Uncertainty 
That flows around me
Once again to stay",Uncertainty
Stratovarius,"Look around there´s no time to waste
Life goes on nothing´s gonna change
Feel the winds of life blowing cold
It won´t take so long you are growing old
There is no answer to be found
It is so easy to fall without a sound

Days of loving and gold
Kept me from feeling so old
Times I´ll always recall
When the night meets the day
Gates of heaven I saw
While flying through the misty dawn
Those days I´ll always recall
When the night meets the day

I don´t want to let you out of my sight
But here I´m lost and alone in the night",When the Night Meets the Day [*]
Stratovarius,"I feel like I'm drowning
Trying to catch my breath
Don't know what is happening
There's no sense of time

Deep underneath my skin
Feeling the pain within
Hear my cry
I feel drawn towards you

Can't resist
I don't know why
My life is changing
I cannot recall

Where I've been before
The abyss of your eyes
Meaning so much more
Am I losing my mind

The sun isn't shining
But your eyes light my way
I've found what I've been searching for
My love won't go astray

Deep underneath my skin
Feeling the pain within
Hear my cry
I feel drawn towards you

Can't resist
I don't know why
My life is changing
I cannot recall

Where I've been before
The abyss of your eyes
Meaning so much more
Am I lost

So many years my drifting heart has wandered around
Don't turn on me, won't you stay by my side
Where I've been before
The abyss of your eyes

Meaning so much more
Am I losing my mind",The Abyss of Your Eyes
Stratovarius,"Before the summer turns to winter
Before the dreams will turn to snow
I see the yellow leaves are falling
And soon I know I have to go

But I'll be back before the summer
Next year you're in my arms again
The winter breeze will send my message
It will keep you warm until then

The path to home is long and winding
I'll keep the flame alive for you until I am back
You and I will walk that road together
I'll show that all the dreams are true

If you only let them be before the winter
Before the summer turns to winter
Before the dreams will turn to snow
I see the yellow leaves are falling

And soon I know I have to go
The path to home is long and winding
I'll keep the flame alive for you until I am back
You and I will walk that road together

I'll show that all the dreams are true
If you only let them be before the winter",Before the Winter
Stratovarius,"I wake up in the morning
So far away from home
Trying to make it through the day
Many miles are between us
I'm sending my love

From this payphone
Through the storms we've wandered
Many mountains we have climbed
But all the bad times are behind
The road is free, I'm coming home

Without you I am like
A ship without its sails
Calling the wind to save me
I'd climb the highest mountain
I'd cross the seven seas

Just to see you smile again
All the trust that was built along the years
Is coming back to stay
I know, just look ahead
The road is free, I'm coming home

With every stem I'm closer to home
When I'm back you won't be alone
Soon I'll see the familiar door before my eyes
And you
Through the storms we've wandered

Many mountains we have climbed
All the bad times are behind
The road is, the road is free, and I'm coming home",Coming Home
Stratovarius,"I have seen the future of mankind
The wisdom of my prophecies you'll find
Follow the truth, and be careful; are we the last? 
Hundred years has passed; what have we done?
Inconceivable damage under the sun
I think it's too late to change the man - we are the last
The world keeps turning, while people yearn for more
Mother nature is crying for change
The time will come when we all must pay for what we have done
Are you prepared for that?
As we are reaching the end of the century, there's message we can send
Be strong, and bold, and never lose your mind, 'cause we are the last
Signs of the end, I see
Let them hear my voice in every corner of the world
Take heed of the warnings that I give
I have seen the Southern Cross forming in the sky

""There shall be heard in the air the noise of weapons 
And in the same year the divines shall be enemies. 
They shall unjustly put down the holy laws and by thunder and war, 
True believers shall die."" - Nostradamus: Century I V:43-",Visions (Southern Cross)
Stratovarius,"These empty days are filling me with pain 
After I left it seems my life is only rain 
My heart is longing to the better times 
When everything was still so fine
I wonder why it happens so fast 
You give your heart away knowing it might not last 
IÂ´m still here waiting for the rain to fall 
And to see you once again

Four thousand rainy nights 
Four thousand nights IÂ´d be with you 
Four thousand rainy nights with you

I keep your memory in my heart 
You give me hope when everything is so dark 
That thing nobody can take away 
Forever in me

Four thousand rainy nights 
Four thousand nights IÂ´d be with you 
Four thousand rainy nights with you",4000 Rainy Nights
Stratovarius,"The setting sun creates another world 
The shadows fall another day is in the end 
The Paradise is sleeping peacefully 
And one more day is again history

Tell me can we go on like this? 
Everybody is living in a bliss 
Are these the last times of our Mother Earth? 
Or is it just beginning of new birth?

Don't be afraid we must be wise 
Patient and peaceful and strong 
Maybe it's like you would throw the dice 
Then hope that nothing goes wrong 
Remember that you have the right to say 
All things that you feel inside 
Open your mind and you open your eyes 
Together now is the time

Sing the anthem of the world 
But will we ever learn 
To control our hate and to forgive 
We must learn to find the way 
To just live another day
And be free like an Eagle in the sky

How about if God just let us down? 
If he just is polishing his crown? 
What's the key to the Universe? 
Is life down here just one big endless curse?

Don't be afraid

Sing the anthem of the world",Anthem of the World
Stratovarius,"Summer's gone a while ago
The daylight dims away
I'm watching here how the snow begins to fall
Yesterday's like a dream
A memory in my head
Like the life's gone behind the winter wall

I'm lighting up the candles and lock the door
Sitting by the fire
It's time to dream some more

I have to find a way how to survive
I am surrounded by the starlight
I have to find the path
and to escape from the Cold Winter Nights

And in the morning there's no trace of the sun
Just gray fog hanging above my head
All the birds are quiet hiding in the woods
Can't see no movement are they all dead?",Cold Winter Nights
Stratovarius,"The times are changing so fast, I wonder how long it lasts. The clock is ticking time is running out. The hatred fills this Earth and for what is worth, we're in the end before we know. 

Throughout the years I have struggled to find the answer that I never knew. It strucked me like a million lightnings and here I am telling to you. 

Every second of day it is coming your way, future unknown is here to stay. Got to open your mind or you will be led to astray. 

There's a time to live, there's a time to die. But no one can't escape the Destiny. 

Look all the things we've done, under the burning sun. Is this the way to carry on? So take a look at yourself and tell me what do you see. A wolf in clothes of the lamb? 

Throughout the years I have struggled to find the answer that I never knew. It strucked me like a million lightnings and here I am telling to you. 

Every second of day it is coming your way, future unknown is here to stay. Got to open your mind or you will be led to astray. 

Let your spirit free, through window of your mind.
Unchain your soul from hate, all you need is faith.
I control my Life, I am the One.
You control your Life but don't forget Your Destiny... 

It's time to say goodbye, I know it will make you cry. You make your destiny. I know you'll find the way. 

And outside the Sun is bright. The things will be allright. I will be back one day to you. So please wait for me",Destiny
Stratovarius,"So long I have been accepting what I've seen, never really speaking my mind. Now the heat's leaking out. I'd like to scream and shout. I want to leave it all behind. 

There's no one else to turn the wheel, I've got my own life to steer. 

No Turning Back, coz I want to know who I am and I want to live my life.
No Turning Back, tomorrow's awaiting, I'm on the way. 

Hard to find the right words and not to make it worse. A choice that has to be done, it is just my life. Can't make no compromise and to stop what has begun. 

There's no one else to turn the wheel, I've got my own life to steer. 

No Turning Back, coz I want to know who I am and I want to live my life.
No Turning Back, tomorrow's awaiting, I'm on the way. 

I have all the strings in my hands. The choices that's been laid for me. I am not taking more commands, coz now finally I'm free",No Turning Back
Stratovarius,"Hunger grows stronger I feel it day by day
I need I desire her passion now
I see that look the shine in her eyes
CanÂ´t let her go sheÂ´s so divine
ThereÂ´s no one who could stop me now
SheÂ´ll be mine

SheÂ´s teasing IÂ´m unfreezing wanting more and more
IÂ´m dreaming just like streaming through the door
I see that look

Playing with fire
Hiding inside the flames
Playing with fire
ItÂ´s a dangerous game",Playing With Fire
Stratovarius,"You found the truth again 
I showed the way 
The Path of Wisdom is the only way to reality 
You learned to live Your life 
The hard way 
Your tears put out the fire from your soul

Lost behind the lies I can hear your cries 
Now is the time to rise again so strong

Learn from your past 
But better make it fast 
The time is running out for you to change your life

You must learn to live 
ThereÂ´s so much to give 
Set Fire to your soul again and be, the Rebel 
Hold your head up proud",Rebel
Stratovarius,"I'm waiting for the rain now, to settle the dusty air. Clearing up my emotions. 
Facing it all if I dare.
I've been thinking, I've been trying but I've always been denying. 
Wasted days are still inside of me, it's time to set them free.

Why don't we see what is going on? 
There are not so many years to be wasted until the damage is done and the beauty is gone.
Save Our Souls.

What is the price that we pay?
Save Our Souls.
Do we have nothing to say?",S.O.S.
Stratovarius,"ItÂ´s 4 in the morning 
IÂ´m gazing the sky with 
Millions of stars 
A moment before the Dawn 
The endless Universe fills me all 
Where are you now? 
Alone just like me and Venus in the morning?

I touch your face thatÂ´s filled with pain 
I kiss away the tears from your eyes 
IÂ´ve waited you for 8000 days 
Now IÂ´ve come here to set you free

But where are you now

Forget the future donÂ´t live the past 
Live for today because life goes too fast 
Go find the Key to your Divine Mind 
Open the Door so many answers youÂ´ll find

Like Venus in the morning",Venus in the Morning
Stratovarius,"Look around do you see 
So many things have changed 
And you should know by now 
I never meant to hurt you at all 
All my life I have been an outcast 
But now IÂ´ve been reborn 
And I see things so clear

Open your eyes and realize 
Hard times are over if you want 
Open your mind 
Reach for the stars 
Answer is there for us to find

Years go by 
Never know when itÂ´s too late 
Years go by 
Yourself you seal your fate 
DonÂ´t look the answer from horizon 
ItÂ´s closer than you think 
Years go by, oh how they go by",Years Go By
Stratovarius,"Once again I try to make things work
Facing all the power of society
Searching all the answers of the life
I´ll never make it on my own

Was I meant to fail every time
Seems to me that's my destiny
Is this all that´s left to me
Confusion and bad memories 

But now my time has come
No more running in the dark
I want much more than this
I really want it all 

Against the wind we run
To every place under the sun
We have got so much power inside
We will never give up
Against the wind we go
Towards the new shore
Together we´ll forget the sorrow
It´s forever gone",Against the Wind
Stratovarius,"Again I see you standing there watching me
Your gaze, those eyes are tantalizing openly
Inviting me to get close to you
Can't help myself
There's fascination in the air
I try to fight this strong sensation
But there's no chance to escape from this temptation

Feels like I've known you before
Repeating phrases
But I yearn for something more
I know I can't stay by your side forever
But I know I won't forget your beauty
My black diamond",Black Diamond
Stratovarius,"Went into the plane was scared like hell
Tried to relax for awhile
But when we took off I feared we would fall
Waving goodbye to this life 

I´m flying through winds tonight
No sign of the dawn or light 

Silhouettes in the sky
Wings are carrying me through the night
Silhouettes in the sky
Destination unknown  
Distant Skies 

Then after awhile I tried to sleep
But watched two movies instead
The fear struck again 
How I hate this plane
Hope this would come to an end",Distant Skies
Stratovarius,"Walking down the path that leads me to my memories
Pacing all the way without a care in my stride
Where are the friends of my yesterday
Have they moved on with their lives
Can we still laugh and joke about things like before 
There's no need to hide the past that I have left behind
It's a good resource somewhere for me to find
Why am I waiting for someone to reach out
It should be all up to them
Keeping in touch ain't that easy but I'll have to try 

Where have all the years gone
That's what I am asking now
What have I learnt so far
Tell me Father Time 
Tell me now 

Now I understand I'll take from time what I need
And I store it inside it's there for me to find
I can't deny that the years will pass by
But it won't bother me
Coz now I will set out to realize my dream 

Where have all the years gone
That's what I am asking now
What have I learnt so far
Tell me Father Time
Tell me now",Father Time
Stratovarius,"I stand alone in the darkness
The winter of my life came so fast
Memories go back to childhood
To days I still recall 

Oh how happy I was then
There was no sorrow there was no pain
Walking through the green fields
Sunshine in my eyes 

I'm still there everywhere
I'm the dust in the wind
I'm the star in the northern sky
I never stayed anywhere
I'm the wind in the trees
Will you wait for me forever?",Forever
Stratovarius,"They try to give me answers
To questions I´ve never asked
I'll have no part in their conspiracy
I guess I am the kind of

Guy that will never stray
The thing I need is privacy
Some guiding, depriving
Misleading and combining

They're watching our every move
They can try to bind our arms
But they can't chain our minds or hearts
We will keep our faith inside our souls

And never let it go - we are forever free
You see them making headlines
New pictures tell old stories
Explaining what they have said and done

Media's new illusion
Creating more confusion
But I know that they'll soon be gone
Some guiding, depriving

Misleading and combining
They're watching our every move
They can try to bind our arms
But they can't chain our minds or hearts

We will keep our faith inside our souls
And never let it go - we are forever free",Forever Free
Stratovarius,"I hear footsteps closing in
I recognize them from my early days
The times are different the image remains the same
Repeating backflashes remembering the name

Approaching visions of things I can't recall
A familiar smile awakes the pain
Unkept promises
The night awaits

The act of confidence
The kiss of Judas
I feel the lips on my cheek
The kiss of Judas

Haunts me once again
In your private chamber you're all alone
The well earned silver pieces falling to the floor
The flame of the candle casting movement to the wall

Your eyes filled with guilt keep staring at the door
Approaching visions of things I can´t recall
A familiar smile awakes the pain
Unkept promises

The night awaits
The act of confidence
The kiss of Judas
I feel the lips on my cheek

The kiss of Judas
Haunts me once again",Kiss of Judas
Stratovarius,"Far in the core of the earth
First it was given birth
We heard the call the message was so clear
The tracks were laid for the future to come

Sons and daughters of the Rising Sun
The armies in Europe here we come
We run like the wind we play from the heart
Now we are here together we sing

Faster than light, higher than the sky
Tonight we're together again
We never give up and never give in
Stronger than steel we're the Legions of the Twilight

We survived the hard times
Never accepted the lies
You run like the wind you sing from the heart
Now that we're here together we'll sing

Faster than light, higher than the sky
Tonight we're together again
We never give up and never give in
Stronger than steel we're the Legions of the Twilight

When we have to go back home again
We'll keep the memories we gained inside our hearts
Faster than light, higher than the sky
Tonight we're together again

We never give up and never give in
Stronger than steel we're the Legions of the Twilight
Raise your hands for us!",Legions
Stratovarius,"Late at night I find myself again
Wondering and watching TV
I can't believe what is on the screen
Something that I wouldn't care to see

Many rare species will perish soon
And we will be short on food
Why do we have to be so selfish
We've got to change our attitude

I know that I am not
The only one that's worried
Why don't we all
Wake up, and realize

Like the birds in the sky
We are flying so high
Without making any kind of sacrifice
We've got so little time

To undo this crime
Or we'll lose our paradise
It seems to me that there's no sense at all
Nobody cares it's always the same

Mother nature's crying out in pain
We are the ones to blame
I know that I am not
The only one that's worried

Why don't we all
Wake up, and realize
Like the birds in the sky
We are flying so high

Without making anykind of sacrifice
We've got so little time
To undo this crime
Or we'll lose our paradise",Paradise
Stratovarius,"Season of change life feels so strange
Look into my eyes do you see the truth
I'm lost and alone feelings unknown
Come to me stronger than before

On winds of time my soul will fly
The angels are knocking at my door
Oh now I need to be free
From all this hatred I feel inside

Let it be my dreams
Let it be my thoughts
All those things in my heart
One too many days
One too many years
I wasted for nothing
I never realized
The truth is inside
Of every man for all to see
Listen to me now
I'm so close to you
Never felt like this before

The carousel is spinning fast
Better enjoy while it lasts
Every moment is like gold
You'll remember when you're old
And the meaning of this life
Is to live and is to die
Make the best out of your dreams
They're the world where you are free
All the sorrow and the pain
Will be washed away by rain
An eternal joy will come
It can be found by everyone
Though the end is drawing near
I'm not feeling any fear
I have found the truth inside
After all the tears I've cried

Season of change",Season of Change
Stratovarius,"Today is just an other day
Of my life too short to live
I should have some kind of meaning
A destiny to believe in
Before I go to sleep 

I find some pictures of a time
When everything was still so fine
Although the years have passed by
I will give it all I have inside everything 

I'm away lost in my thoughts
Everyday my life goes by
At the speed of light",Speed of Light
Stratovarius,"I´m entering in to the woods
I left everything behind
I have to follow my heart
Don´t know what I´m looking for

Starlights guiding my way
To old black oak where we meet
Now it´s full moon 

[Chorus:]
Other side is calling me
Singing dancing this is no dream
Twilight Symphony 

The feast is going on
Rapture never seen before
The fury is taking us
Into a new level soon

Hearing voices everywhere
Telling me what to do
Giving me answers 

[Chorus]

The spirits are calling me
I only wish to die 
There is no question why anymore",Twilight Symphony
Stratovarius,"I have seen the future of mankind
The wisdom of my prophecies you'll find
Follow the truth and be careful
Are we the last?

Hundred years has passed what have we done
Inconceivable damage under the sun
I think it's too late to change the man
We are the last

World keeps turning while people yearn for more
Mother nature is crying for a change
Time will come when we all must pay for what
We have done, are you prepared for that?

As we are reaching the end
Of the century there's message we can send
Be strong and bold and never lose your mind
'Cause we are the last

World keeps turning while people yearn for more
Mother nature is crying for a change
Time will come when we all must pay for what
We have done, are you prepared for that?

The signs of the end I see
Let them hear my voice in every corner of the world
Take heed of the warnings that I give
I have seen the southern cross forming in the sky

There shall be heard in the air the noise of weapons
And in the same year the divines shall be enemies
They shall unjustly put down the holy laws
And by thunder and war true believers shall die

(Nostradamus: Century IV:43)
For forty years the rainbow shall not appear
For forty years it shall be seen every day
The parched earth shall wax drier every day

And a great flood when it shall appear
(Nostradamus: Century I:17)
After us the road goes on forever
Many changes lie along the path

That´s the price we pay for our selfishness
We are headed for the end
From the skies shall come the powerful kind
Before and after the Mars reigns at will

Not far from the great age of millennium
Buried ones shall come out of their graves
(Nostradamus: Century X:72,74)
When the comet tears out the sky

You and I must die
After all this the time will come for the chosen ones
To rise from their graves to be free again
The beast is gone forever there´s no more pain

Instead so many things for us to attain
The sun is shining brightly after the rain
The land is green and full of life again
The sorrows wiped away now

It´s time to smile
And learn from the past
Together we will try
Twenty years of reign of the moon having past

Seven thousand years another shall hold his monarchy
When the sun shall resume his days past
Then is fulfilled and ends my prophecy
(Nostradamus: Century I:48)",Visions
Stratovarius,"Throwing my dreams out of my mind
Casting them into the sky
Canceling tasks IÂ´ve delayed for so long
Now itÂ´s do or die 

I canÂ´t be seen I canÂ´t be heard
But I am here and I am wondering 

Will the sun rise tomorrow?
Will it light up my sky?
Can I wake up with no sorrow awaiting?
Will the sun rise tomorrow?
Will I still see the dawn?
And not worry Â´bout the future at all
At the end of each day I promise myself
IÂ´d better start to live
'Cause sooner or later IÂ´ll find out
ThereÂ´s so much I can give

I canÂ´t be seen I canÂ´t be heard
But I am here and I am wondering 

Will the sun rise tomorrow?
Will it light up my sky?
Can I wake up with no sorrow awaiting?
Will the sun rise tomorrow?
Will I still see the dawn?
And not worry Â´bout the future at all",Will the Sun Rise?
Stratovarius,"I'm waiting for the rain now
To settle the dusty air
Clearing up my emotions
Facing it all if I dare

I've been thinking
I've been trying
But I've always been denying
Wasted days are still inside of me
It's time to set them free

Why don't we see what's going on?
There are not so many years to be wasted
Until the damage is done, and the beauty is gone

Save our souls
What is the price that we pay?
Save our souls
Do we have nothing to say?

Why don't we see what's going on?
There are not so many years to be wasted
Until the damage is done, and the beauty is gone

Why don't we see what's going on?
There are not so many years to be wasted
Until the damage is done, and the beauty is gone

Save our souls",Sos
Stratovarius,"Now it is time for you
To close your eyes
They've seen much pain
It's slowly filling your mind
Pretty as they are
But now so pale
You better leave all your worries far
Behind

Not long ago when you
Had the Fire
Burning inside of you brighter than any flame
You were the one that I believed in
Keeping our hopes up high where are you now?
Where do you aim?

Let me take you there
To the place you know
Why don't you Dream With Me
The answers will be found

Now it is time to open your eyes again
See how all the sorrows have disappeared
Faded away
I am right here waiting for your call
If you still need me to guide your pace
Through the day

Let me take you back
To the place you know
Why don't you Dream With Me
The answers will be found

Let me take you back
To the place you know
Why don't you Dream With Me
The answers will be found

Let me take you back
To the place you know
Why don't you Dream With Me
The answers will be found",Dream With Me
Stratovarius,"Here in the Universe I find some things that are so hard to understand 
The vastness of space just takes my breath away I see through history 
The years they come and go 
The seconds that will shape my destiny 
The time that we spend here is precious, that I see so clear
What is our place in here? 
What is the meaning of the pain we feel? 
Where did all this come from? 
The galaxies, the moon the stars, oh I don't know 
I really want to know what is the meaning of evolution 
They say that we are the crown of all creation
So let's break free from these chains 
Of fear, hate and greed 
And join together singing our 
Celestial dream freedom is awaiting 
For those who take the path less traveled 
And in the end we'll all sing our celestial dream",Celestial Dream
Stratovarius,"Higher I set my goals everyday I make my own rules that 
I will obey each moment 
As long as I live 
This is the life I was born to lead 
Unique chance for me to express myself 
And fulfill my dreams
I'm in control of this ship of mine 
And everything will be just fine
Like the wind I'm free to go anywhere I got my song, it dances in the air 
Now I know what I'll do with my life 
Now you will hear my freedom call
All those bad times I've had in my life 
Change into blessings if I change the point of view I needed them to grow 
I've changed so much, I'm finally free 
To do what I want without any fear and quilt It's so amazing
I'm in control
Like the wind",Freedom
Stratovarius,"I feel the wind in my hair
And it's whispering, telling me things
Of a storm that is gathering near
Full of power I'm spreading my wings

Now I'm leaving my worries behind
Feel the freedom of body and mind
I'm starting my journey, I'm drifting away with the wind, I go

I am Hunting High and Low
Diving from the sky above
Looking for, more and more, once again
I'm Hunting High and Low
Sometimes I may win, sometimes I'll lose
It's just a game that I play

After the storm there's a calm
Through the clouds shines a ray of the sun
I'm carried from all my harm
There is no one I can't outrun

Now I'm leaving my worries behind
Feel the freedom of body and mind
I'm starting my journey, I'm drifting away with the wind, I go

I am Hunting High and Low
Diving from the sky above
Looking for, more and more, once again
I'm Hunting High and Low
Sometimes I may win sometimes I lose
It's just a game that I play

I am Hunting High and Low
Diving from the sky above
Looking for, more and more, once again
I'm Hunting High and Low
Sometimes I may win sometimes I lose
It's just a game that I play",Hunting High and Low
Stratovarius,"Mother watch your children 
The iron fist of fear is ruling our lives 
It's not too late to change the course 
We can make this world a better place to be in

How much more do we want until we're satisfied? 
What happens when we have what we want? 
Acquiring more , still there's never enough 
We forget those who really are in need

The end is near, or so they say
Selling peace with guns

Infinity - Where do we go from here?
Infinity - Where do we go from here?
Infinity - Where do we go?
Infinity - Where do we go from here?

Guns spitting (out the) message of peace everywhere 
Is it really that we don't care? 
See mercenaries of fear selling love 
Telling salvation comes from above 

Arrogance and fear walking hand in hand 
We must see that there's much more to life than this
Mother see your children 
Make us understand and help us to find the way 

The answers lie inside 
They are locked inside to the vault of truth for us It's time 
to spread the word around 
Be yourself and do what you want to do with your life 

Remember, you get just what you give 
You reap all what you sow 
You are in charge of your own life Infinity...
You make your own way As long as you are here 

Find your place in life 
Make your dreams come true 
There's so much more than this 
A million ways to live 

Unlock the door 
To the universe with love 
Free your soul",Infinity
Stratovarius,"The more I live, more clear it's each day
We've got to change our ways
There is no going back anymore
Eons rumble through space

We must find new ways to live
I know there's so much more to give

Millennium
Where do we go?
Millennium
Time will show
Forever more
The light will be guiding our journey

Millennium
Show us the way
Millennium
Into a new day
Forever more
Give us a chance to change
Ooh!

People may come and people may go
The dance of time is eternal
What is the meaning of this cosmic play?
Will we see another day?

We must find new ways to live
I know there's so much more to give

Millennium
Where do we go?
Millennium
Time will show
Forever more
The light will be guiding our journey

Millennium
Show us the way
Millennium
Into a new day
Forever more
Give us a chance to change
Ooh!

Millennium
Where do we go?
Millennium
Time will show
Forever more
The light will be guiding our journey

Millennium
Show us the way
Millennium
Into a new day
Forever more
Give us a chance to change
Ooh!
",Millennium
Stratovarius,"I don't know what to do I don't know who you are I'm calling from the silence 
We have gone too far
I try to understand you, your life has been so cruel 
Please try to see it my way I've got something to say
All those years were not in vain 
Even though there was much pain I try to learn from my mistakes 
I want to make it up to you
A million light years away from you
I am
A million light years away from you
I hope that you'd respect my honesty and faith and maybe you'd forgive me 
If I could make you see I want to say I'm sorry 
For what I did to you I'll get on with my life I hope you do that too
All the years",A Million Light Years Away
Stratovarius,"Time waits for no one So they say It goes on forever
The tears of pain
I see in your eyes
How can we change for the better?
Hate and greed's getting stronger day by day
Injustice rules the world
Killing the lungs of the Earth
How far are we prepared to go?
I have seen the Light It came into my life 
There's no second chance 
We should have learned by now 
But it's not too late to change the course 
There's so much more than this, oh Mother Gaia
Can you see, can you feel all the beauty that we have in this world? 
There's so much to see, forever Ignorance, arrogance 
Keep us from being ourselves so we just follow our leaders, why",Mother Gaia
Stratovarius,"I am facing the truth I got to change the way I live 
Can't go on this way The price is too high to pay
After the rain I feel the sun 
See how I run to my destiny 

Life is a game I got to learn how to play I make my own rules 
'Cause now I am free to choose 
Courage and faith will show me the way Se how I run to my destiny
Like the Phoenix I rise From the ashes of life I don't need fortune 

Or fame Just some peace of mind
Like the Phoenix I fly leaving the lies behind 
Future's golden for me There is no one who can stop me now
I'm noble and strong I'm walking down the road that I choose 

Each day is a gift And I know that I can't lose
Glorious future is waiting for me See how I run to my destiny
Like the Phoenix...",Phoenix
Stratovarius,"I'm sitting by the calm lake
And watch the setting sun
My feet are in the water
The journey's just begun
In the mist there is a boat and it's heading towards me
On the deck the lady's holding her hand and I agree

I'm falling into fantasy
The dream goes on

We are traveling in the nightfall
Until we stop somewhere
Descending into water
On dark and hazy stairs
Now she's leading me to the golden palace that lays ahead
She tells me I'm the one in her dreams and on her bed

I'm falling into fantasy
The dream goes on
I'm falling into fantasy
Drifting alone",Falling into Fantasy
Stratovarius,"I surrender to your heart babe
Do anything that you want me to do
Please be tender I'm in your hands girl
This is a feeling I never knew
You know I tried to make it on my own
That's not the way it was meant to be
Spend my time waiting by the phone
Oh darling come back to me

I surrender, I surrender
I'm giving up the role of pretender
Oh be tender, girl be tender
Can't you feel the love that I send you
I surrender

I remember, seems like a lifetime
Can't believe it's a matter of days
Since you left I'm near to heartbreak
I want you so bad don't turn away
What does it take to stay by my side
You know I'll do what you want me to
Don't take away this feeling inside
I'm still in love with you

I surrender, I surrender
I'm giving up the role of pretender
Oh be tender, girl be tender
Can't you feel the love that I send you
I surrender

I surrender, I surrender
Darling now won't you be tender
Surrender, oh surrender
Feel the love that I send you
I surrender",I Surrender [Live]
Stratovarius,"In the middle of the jungle
There are ruins of temples built along ago
Stone by stone
They were made by the Mayas
A tribe that is not so well-known
Each pictures on the wall
Recorded history
They were gazing at the sky
Seeing stars telling them the days
On the year
Monuments marked time
But altars meant death and fear
Worshipping gods now gone long time ago
The population grew, new cities were found

What happened then?
Was it a strange decease that wiped away almost everyone?
Or it might have been starvation caused by drought and
A scorching sun

It's a mystery
The way they disappeared
It's now history
We will never know",It's a Mystery
